# 7f678888-d713-42bf-9055-4abeed4b91dc
# ecb85323391553031eb674d4a5e09ae03d94ef97
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0065449; -0.3819656; -1.6654294; 0.0232122; 18.4761010; 4.5093261
0.4999319; 0.5045071; -0.4263760; -1.6541800; 0.0217828; 18.5977154; 4.8880250
0.9998638; 1.0029211; -0.4653606; -1.6436496; 0.0203415; 18.7286513; 5.2751630
1.4997957; 1.5017047; -0.4992734; -1.6338342; 0.0189226; 18.8689380; 5.6601195
1.9997276; 2.0007855; -0.5284652; -1.6247248; 0.0175177; 19.0183115; 6.0473211
2.4996595; 2.5001020; -0.5532844; -1.6163144; 0.0161273; 19.1766178; 6.4378831
2.9995914; 2.9996016; -0.5740763; -1.6085959; 0.0147501; 19.3437244; 6.8336378
3.4995233; 3.4992403; -0.5911838; -1.6015629; 0.0133849; 19.5195385; 7.2362364
3.9994552; 3.9989820; -0.6049470; -1.5952097; 0.0120309; 19.7040004; 7.6473657
4.4993871; 4.4987970; -0.6157037; -1.5895310; 0.0106869; 19.8970841; 8.0687125
4.9993190; 4.9986620; -0.6237895; -1.5845219; 0.0093520; 20.0987952; 8.5019856
5.4992508; 5.4985592; -0.6295378; -1.5801781; 0.0080252; 20.3091703; 8.8076491
5.9991827; 5.9984753; -0.6332801; -1.5764959; 0.0067055; 20.5248349; 8.7860733
6.4991146; 6.4984009; -0.6353463; -1.5734719; 0.0053922; 20.7377367; 8.7645504
6.9990465; 6.9983303; -0.6360645; -1.5711031; 0.0040842; 20.9479613; 8.7430802
7.4989784; 7.4982599; -0.6357618; -1.5693870; 0.0027809; 21.1555896; 8.7216625
7.9989103; 7.9981887; -0.6347615; -1.5683061; 0.0015499; 21.3606986; 8.7002974
8.4988422; 8.4981165; -0.6333616; -1.5677558; 0.0006854; 21.5633614; 8.6789845
8.9987741; 8.9980438; -0.6317767; -1.5675297; 0.0002554; 21.7636477; 8.6577239
9.4987060; 9.4979711; -0.6301234; -1.5674694; -0.0000027; 21.9616234; 8.6365154
9.9986379; 9.9978984; -0.6284638; -1.5674868; -0.0000512; 22.1573519; 8.6153588
10.4985698; 10.4978259; -0.6268152; -1.5675085; -0.0000318; 22.3508932; 8.5942541
10.9985017; 10.9977535; -0.6251744; -1.5675183; -0.0000071; 22.5423049; 8.5732010
11.4984336; 11.4976813; -0.6235355; -1.5675154; 0.0000185; 22.7316419; 8.5521995
11.9983655; 11.9976092; -0.6218918; -1.5674997; 0.0000445; 22.9189568; 8.5312495
12.4982974; 12.4975372; -0.6202371; -1.5674709; 0.0000706; 23.1042997; 8.5103508
12.9982293; 12.9974654; -0.6185648; -1.5674292; 0.0000964; 23.2877190; 8.4895032
13.4981612; 13.4973936; -0.6168683; -1.5673747; 0.0001215; 23.4692609; 8.4687068
13.9980931; 13.9973220; -0.6151416; -1.5673080; 0.0001455; 23.6489695; -0.0429172
14.4980250; 14.4972505; -0.6133785; -1.5672296; 0.0001679; 23.6480622; -14.5015865
14.9979569; 14.9971790; -0.6115736; -1.5671406; 0.0001883; 23.3394781; -14.4594070
15.4978888; 15.4971071; -0.6097217; -1.5670420; 0.0002061; 23.0276746; -14.4194191
15.9978206; 15.9970346; -0.6078184; -1.5669352; 0.0002209; 22.7124711; -14.3816010
16.4977525; 16.4969615; -0.6058601; -1.5668219; 0.0002324; 22.3936755; -14.3461703
16.9976844; 16.9968881; -0.6038438; -1.5667040; 0.0002399; 22.0710780; -14.2932827
17.4976163; 17.4968129; -0.6017665; -1.5665754; 0.0002849; 21.7449109; -14.1517442
17.9975482; 17.9967318; -0.5996096; -1.5663660; 0.0005267; 21.4170804; -14.1518919
18.4974801; 18.4966527; -0.5973392; -1.5661639; 0.0002923; 21.0841497; -14.2238383
18.9974120; 18.9965785; -0.5949892; -1.5660327; 0.0002324; 20.7441430; -14.2181117
19.4973439; 19.4965031; -0.5925814; -1.5659322; 0.0001704; 20.3986101; -14.2075786
19.9972758; 19.9964285; -0.5901306; -1.5658607; 0.0001160; 20.0473851; -14.1936641
20.4972077; 20.4963542; -0.5876507; -1.5658152; 0.0000665; 19.6902493; -14.1762597
20.9971396; 20.9962803; -0.5851541; -1.5657930; 0.0000226; 19.3269653; -14.1443566
21.4970715; 21.4962069; -0.5826515; -1.5657914; -0.0000158; 18.9575621; -14.1053717
21.9970034; 21.9961339; -0.5801528; -1.5658074; -0.0000293; 18.5818651; -13.9654421
22.4969353; 22.4960612; -0.5776506; -1.5657500; 0.0003496; 18.2022573; -13.2834555
22.9968672; 22.9959880; -0.5750025; -1.5650850; 0.0024063; 17.8336907; -12.0638726
23.4967991; 23.4959110; -0.5716811; -1.5628895; 0.0063904; 17.4922352; -10.8100847
23.9967310; 23.9958209; -0.5667464; -1.5585956; 0.0107824; 17.1805029; -9.6361955
24.4966629; 24.4956971; -0.5591163; -1.5521057; 0.0151747; 16.8977749; -8.5287949
24.9965948; 24.9955012; -0.5476935; -1.5434203; 0.0195642; 16.6435322; -7.4743403
25.4965267; 25.4951672; -0.5313822; -1.5325408; 0.0239509; 16.4174859; -6.4662707
25.9964586; 25.9945909; -0.5090896; -1.5194745; 0.0283112; 16.2193851; -5.4729044
26.4963904; 26.4936466; -0.4797282; -1.5042186; 0.0327169; 16.0498067; -4.5794444
26.9963223; 26.9921427; -0.4422199; -1.4868320; 0.0367959; 15.9065230; -4.5269626
27.4962542; 27.4898750; -0.3956666; -1.4681849; 0.0376327; 15.7636013; -4.4628512
27.9961861; 27.9866720; -0.3397475; -1.4491567; 0.0385387; 15.6214239; -4.4176466
28.4961180; 28.4823205; -0.2742695; -1.4296764; 0.0393927; 15.4794005; -4.3828176
28.9960499; 28.9765981; -0.1990427; -1.4097752; 0.0402290; 15.3371972; -4.3660252
29.4959818; 29.4692782; -0.1138899; -1.3894643; 0.0410161; 15.1942156; -4.3658301
29.9959137; 29.9601192; -0.0186521; -1.3687740; 0.0417379; 15.0498821; -4.3696708
30.4958456; 30.4488719; 0.0868070; -1.3477410; 0.0423765; 14.9040222; -4.3982433
30.9957775; 30.9352798; 0.2025956; -1.3264121; 0.0429148; 14.7557525; -4.4552494
31.4957094; 31.4190834; 0.3287901; -1.3048421; 0.0433365; 14.6040265; -4.5440534
31.9956413; 31.9000233; 0.4654310; -1.2830936; 0.0436286; 14.4476350; -4.6672885
32.4955732; 32.3778437; 0.6125197; -1.2612341; 0.0437859; 14.2852197; -4.8259295
32.9955051; 32.8522962; 0.7700189; -1.2393297; 0.0438192; 14.1153190; -5.0176907
