# e1292a9a-68e1-402c-bed6-aeb2c35dabfa
# 69e3fcdc027d42f874e06edef118b62a661877b0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0097535; -0.3041769; -1.6493965; 0.0221350; 16.2563813; 3.8034106
0.4999053; 0.5083261; -0.3407363; -1.6387212; 0.0205666; 16.3729235; 4.1303741
0.9998105; 1.0072463; -0.3721670; -1.6288305; 0.0190003; 16.4985519; 4.4616773
1.4997158; 1.5064415; -0.3988561; -1.6197179; 0.0174539; 16.6331911; 4.7938216
1.9996211; 2.0058494; -0.4211876; -1.6113748; 0.0159226; 16.7766492; 5.1294113
2.4995263; 2.5054185; -0.4395425; -1.6037937; 0.0144061; 16.9288038; 5.4697982
2.9994316; 3.0051062; -0.4542984; -1.5969674; 0.0129031; 17.0895629; 5.8165861
3.4993368; 3.5048782; -0.4658302; -1.5908895; 0.0114124; 17.2588715; 6.1713222
3.9992421; 4.0047074; -0.4745100; -1.5855540; 0.0099330; 17.4367083; 6.5355746
4.4991474; 4.5045732; -0.4807073; -1.5809555; 0.0084639; 17.6230853; 6.9109295
4.9990526; 5.0044605; -0.4847891; -1.5770891; 0.0070040; 17.8180457; 7.0767123
5.4989579; 5.5043587; -0.4871201; -1.5739505; 0.0055524; 18.0154968; 7.0593776
5.9988632; 6.0042614; -0.4880633; -1.5715358; 0.0041082; 18.2103313; 7.0420854
6.4987684; 6.5041648; -0.4879795; -1.5698413; 0.0026705; 18.4026334; 7.0248356
6.9986737; 7.0040675; -0.4872227; -1.5688287; 0.0013941; 18.5924829; 7.0076280
7.4985789; 7.5039695; -0.4860944; -1.5682962; 0.0007931; 18.7799553; 6.9904625
7.9984842; 8.0038711; -0.4847578; -1.5679684; 0.0005424; 18.9651222; 6.9733391
8.4983895; 8.5037723; -0.4832845; -1.5677452; 0.0003530; 19.1480515; 6.9562577
8.9982947; 9.0036733; -0.4817228; -1.5676147; 0.0001693; 19.3288080; 6.9392181
9.4982000; 9.5035743; -0.4801176; -1.5675684; 0.0000184; 19.5074529; 6.9222202
9.9981053; 10.0034754; -0.4785033; -1.5675671; -0.0000055; 19.6840450; 6.9052640
10.4980105; 10.5033767; -0.4768891; -1.5675661; 0.0000114; 19.8586400; 6.8883493
10.9979158; 11.0032780; -0.4752721; -1.5675555; 0.0000314; 20.0312912; 6.8714761
11.4978210; 11.5031795; -0.4736472; -1.5675346; 0.0000522; 20.2020495; 6.8546441
11.9977263; 12.0030812; -0.4720093; -1.5675032; 0.0000734; 20.3709634; 6.8378534
12.4976316; 12.5029829; -0.4703530; -1.5674612; 0.0000947; 20.5380794; 6.8211039
12.9975368; 13.0028847; -0.4686730; -1.5674087; 0.0001156; 20.7034422; 6.8043953
13.4974421; 13.5027867; -0.4669642; -1.5673458; 0.0001357; 20.8670943; 6.7877277
13.9973474; 14.0026888; -0.4652216; -1.5672733; 0.0001547; 21.0290767; 1.0666094
14.4972526; 14.5025907; -0.4634403; -1.5671916; 0.0001720; 21.0544169; -11.2780688
14.9971579; 15.0024921; -0.4616162; -1.5671018; 0.0001872; 20.7849114; -11.2472912
15.4970632; 15.5023931; -0.4597454; -1.5670051; 0.0001998; 20.5126152; -11.2181454
15.9969684; 16.0022936; -0.4578248; -1.5669028; 0.0002094; 20.2373753; -11.1906123
16.4968737; 16.5021935; -0.4558519; -1.5667965; 0.0002156; 19.9590298; -11.1646628
16.9967789; 17.0020931; -0.4538254; -1.5666884; 0.0002182; 19.6774064; -11.1224914
17.4966842; 17.5019910; -0.4517433; -1.5665712; 0.0002643; 19.3927805; -11.0085225
17.9965895; 18.0018835; -0.4495865; -1.5663698; 0.0005106; 19.1068967; -11.0086314
18.4964947; 18.5017786; -0.4473195; -1.5661723; 0.0002913; 18.8166670; -11.0577734
18.9964000; 19.0016779; -0.4449736; -1.5660389; 0.0002423; 18.5205636; -11.0501597
19.4963053; 19.5015762; -0.4425673; -1.5659306; 0.0001917; 18.2198576; -11.0391216
19.9962105; 20.0014752; -0.4401127; -1.5658457; 0.0001485; 17.9144127; -11.0256788
20.4961158; 20.5013743; -0.4376209; -1.5657812; 0.0001100; 17.6040504; -11.0097644
20.9960210; 21.0012738; -0.4351015; -1.5657345; 0.0000770; 17.2885775; -10.9916375
21.4959263; 21.5011736; -0.4325626; -1.5657030; 0.0000494; 16.9677741; -10.9714757
21.9958316; 22.0010737; -0.4300112; -1.5656839; 0.0000271; 16.6413930; -10.9494821
22.4957368; 22.5009741; -0.4274528; -1.5656747; 0.0000101; 16.3091555; -10.9217296
22.9956421; 23.0008748; -0.4248918; -1.5656725; 0.0000145; 15.9708764; -10.8073093
23.4955474; 23.5007757; -0.4223170; -1.5655951; 0.0003752; 15.6289357; -10.2962555
23.9954526; 24.0006760; -0.4195870; -1.5649089; 0.0024681; 15.2960559; -9.2639464
24.4953579; 24.5005721; -0.4161445; -1.5625296; 0.0070629; 14.9902347; -8.1850431
24.9952632; 25.0004530; -0.4109142; -1.5577082; 0.0122201; 14.7147424; -7.1742453
25.4951684; 25.5002926; -0.4026293; -1.5503069; 0.0173831; 14.4689584; -6.2203818
25.9950737; 26.0000345; -0.3900007; -1.5403267; 0.0225361; 14.2524228; -5.2992627
26.4949789; 26.4995970; -0.3717406; -1.5277613; 0.0277301; 14.0653225; -4.4500517
26.9948842; 26.9988498; -0.3465647; -1.5126482; 0.0327030; 13.9062607; -4.2661276
27.4947895; 27.4976322; -0.3133556; -1.4958526; 0.0343578; 13.7520460; -4.0903033
27.9946947; 27.9957906; -0.2715795; -1.4782713; 0.0360133; 13.6025454; -3.9376330
28.4946000; 28.4931314; -0.2208458; -1.4598756; 0.0375860; 13.4570559; -3.8033042
28.9945053; 28.9894422; -0.1607786; -1.4407096; 0.0390973; 13.3150205; -3.6920091
29.4944105; 29.4844953; -0.0910252; -1.4208081; 0.0405177; 13.1756768; -3.6055440
29.9943158; 29.9780416; -0.0112613; -1.4002208; 0.0418336; 13.0381594; -3.5457106
30.4942210; 30.4698154; 0.0788038; -1.3790032; 0.0430318; 12.9014945; -3.5137404
30.9941263; 30.9595361; 0.1794234; -1.3572170; 0.0441030; 12.7646185; -3.5102129
31.4940316; 31.4469115; 0.2908108; -1.3349278; 0.0450421; 12.6263985; -3.5091750
31.9939368; 31.9316408; 0.4131373; -1.3122022; 0.0458509; 12.4866900; -3.5313802
32.4938421; 32.4134174; 0.5465331; -1.2891031; 0.0465428; 12.3445015; -3.5782408
32.9937474; 32.8919319; 0.6910907; -1.2656819; 0.0471511; 12.1987358; -3.6449433
33.4936526; 33.3668734; 0.8468745; -1.2419650; 0.0477401; 12.0484398; -3.7225461
33.9935579; 33.8379291; 1.0139380; -1.2179335; 0.0484223; 11.8929837; -3.7959450
34.4934631; 34.3047784; 1.1923538; -1.1934939; 0.0493735; 11.7323414; -3.8178109
34.9933684; 34.7671670; 1.3822971; -1.1684322; 0.0508895; 11.5685240; -3.6697920
35.4932737; 35.2245667; 1.5839775; -1.1423949; 0.0533921; 11.4088409; -3.1613365
35.9931789; 35.6762588; 1.7977616; -1.1147335; 0.0586635; 11.2694682; -1.5887514
36.4930842; 36.1213775; 2.0249207; -1.0819855; 0.0719148; 11.1987706; -0.5011136
36.9929895; 36.5581391; 2.2679270; -1.0433374; 0.0809007; 11.1763788; -0.3052852
37.4928947; 36.9847989; 2.5282795; -1.0023062; 0.0826644; 11.1627155; -0.3052852
37.9928000; 37.4003855; 2.8060249; -0.9610448; 0.0819212; 11.1490354; -0.1869205
38.4927053; 37.8042831; 3.1005455; -0.9206721; 0.0790808; 11.1406510; 0.1813817
38.9926105; 38.1962484; 3.4108009; -0.8821506; 0.0748677; 11.1487870; 0.6902636
39.4925158; 38.5763405; 3.7355156; -0.8458475; 0.0702827; 11.1796952; 1.2099649
39.9924210; 38.9447982; 4.0733917; -0.8118878; 0.0654825; 11.2336690; 1.7277399
40.4923263; 39.3020048; 4.4231545; -0.7803873; 0.0604390; 11.3102932; 2.2555688
40.9922316; 39.6484858; 4.7835555; -0.7514728; 0.0551363; 11.4095519; 2.8040388
41.4921368; 39.9849053; 5.1533741; -0.7252763; 0.0495680; 11.5317554; 3.3830696
41.9920421; 40.3120607; 5.5314189; -0.7019309; 0.0437355; 11.6774916; 4.0024719
42.4919474; 40.6308744; 5.9165283; -0.6815673; 0.0376477; 11.8475957; 4.6721710
42.9918526; 40.9423852; 6.3075707; -0.6643099; 0.0313177; 12.0431229; 5.4029356
43.4917579; 41.2477339; 6.7034390; -0.6502735; 0.0247803; 12.2653464; 6.2040139
43.9916631; 41.5481613; 7.1030645; -0.6395590; 0.0180232; 12.5156526; 7.0935486
44.4915684; 41.8449416; 7.5053374; -0.6322389; 0.0113213; 12.7958495; 7.4533973
44.9914737; 42.1393463; 7.9092210; -0.6278344; 0.0074038; 13.0837972; 7.4351399
45.4913789; 42.4322609; 8.3142199; -0.6246567; 0.0053197; 13.3648599; 7.4169273
45.9912842; 42.7241278; 8.7200446; -0.6224803; 0.0034738; 13.6394649; 7.3987592
46.4911895; 43.0152956; 9.1263879; -0.6211575; 0.0018478; 13.9079963; 7.3806357
46.9910947; 43.3060996; 9.5330189; -0.6206162; 0.0003437; 14.1708009; 7.3625566
47.4910000; 43.5968415; 9.9397127; -0.6208031; -0.0010778; 14.4281932; 7.3445217
47.9909053; 43.8878094; 10.3462604; -0.6216867; -0.0024471; 14.6804594; 7.3265311
48.4908105; 44.1792791; 10.7524593; -0.6232447; -0.0037767; 14.9278609; 7.3085845
48.9907158; 44.4715179; 11.1581114; -0.6254585; -0.0050698; 15.1706371; 7.2906818
49.4906210; 44.7647843; 11.5630224; -0.6283096; -0.0063240; 15.4090081; -8.1394144
49.9905263; 45.0593273; 11.9670015; -0.6317774; -0.0075358; 15.1426437; -8.9219665
50.4904316; 45.3553851; 12.3698615; -0.6358405; -0.0087053; 14.8451805; -8.7361865
50.9903368; 45.6531858; 12.7714189; -0.6404789; -0.0098412; 14.5480188; -8.5703396
51.4902421; 45.9529481; 13.1714918; -0.6456813; -0.0109698; 14.2504785; -8.4148027
51.9901474; 46.2548877; 13.5698973; -0.6514542; -0.0121370; 13.9521657; -8.2527411
52.4900526; 46.5592250; 13.9664415; -0.6578371; -0.0134351; 13.6532689; -8.0701877
52.9899579; 46.8662123; 14.3609187; -0.6649201; -0.0149557; 13.3545158; -7.8226536
53.4898631; 47.1761090; 14.7530343; -0.6728748; -0.0169810; 13.0584042; -6.8407513
53.9897684; 47.4894152; 15.1424500; -0.6827473; -0.0235870; 12.7938448; -5.7221460
54.4896737; 47.8073462; 15.5282145; -0.6965039; -0.0314340; 12.5682697; -4.6583662
54.9895789; 48.1313129; 15.9089511; -0.7141742; -0.0392536; 12.3815960; -3.7330451
55.4894842; 48.4626700; 16.2832689; -0.7356001; -0.0463584; 12.2299461; -3.2340275
55.9893895; 48.8025514; 16.6498617; -0.7599564; -0.0507386; 12.0970314; -2.9110662
56.4892947; 49.1515993; 17.0077308; -0.7861479; -0.0539703; 11.9761285; -2.6171100
56.9892000; 49.5101675; 17.3560527; -0.8138884; -0.0570153; 11.8663827; -2.3356386
57.4891052; 49.8785090; 17.6940138; -0.8431262; -0.0599681; 11.7675759; -2.0617395
57.9890105; 50.2568069; 18.0207822; -0.8738192; -0.0628451; 11.6796616; -1.7901356
58.4889158; 50.6451740; 18.3355062; -0.9059343; -0.0656655; 11.6027884; -1.5153727
58.9888210; 51.0436640; 18.6373225; -0.9394500; -0.0684492; 11.5373139; -1.2302177
59.4887263; 51.4522493; 18.9253355; -0.9743567; -0.0712270; 11.4838856; -0.9268281
59.9886316; 51.8708282; 19.1986221; -1.0106601; -0.0740304; 11.4434687; -0.6124252
60.4885368; 52.2992305; 19.4562352; -1.0483657; -0.0767789; 11.4166837; -0.3835441
60.9884421; 52.7371912; 19.6972356; -1.0872913; -0.0787594; 11.3998770; -0.3590781
61.4883474; 53.1842733; 19.9208522; -1.1267719; -0.0791596; 11.3841198; -0.3588005
61.9882526; 53.6398458; 20.1266109; -1.1663893; -0.0793746; 11.3683531; -0.3423724
62.4881579; 54.1032338; 20.3141338; -1.2061696; -0.0797064; 11.3532878; -0.3419047
62.9880631; 54.5737303; 20.4830535; -1.2460545; -0.0798684; 11.3382232; -0.3427997
63.4879684; 55.0505803; 20.6330515; -1.2860376; -0.0801156; 11.3230989; -0.3133532
63.9878737; 55.5330396; 20.7638296; -1.3261802; -0.0805360; 11.3092562; -0.3133532
64.4877789; 56.0203495; 20.8750843; -1.3664636; -0.0800126; 11.2953965; -0.2205664
64.9876842; 56.5116762; 20.9668332; -1.4052815; -0.0723245; 11.2856306; 0.7768145
65.4875895; 57.0059403; 21.0408685; -1.4375229; -0.0553232; 11.3199878; 2.8973255
65.9874947; 57.5019911; 21.1012308; -1.4602626; -0.0357680; 11.4472224; 5.2924546
66.4874000; 57.9990148; 21.1527095; -1.4733353; -0.0167369; 11.6760590; 7.5205356
66.9873052; 58.4961880; 21.1999068; -1.4778485; -0.0028614; 11.9937260; 7.5021138
67.4872105; 58.9935689; 21.2460178; -1.4795091; -0.0085116; 12.3024451; 7.4837371
67.9871158; 59.4916356; 21.2901750; -1.4857075; -0.0148570; 12.6028757; 7.4654054
68.4870210; 59.9902397; 21.3306754; -1.4940656; -0.0183254; 12.8955987; 6.8456208
68.9869263; 60.4892890; 21.3666330; -1.5038220; -0.0203046; 13.1582974; 6.3607531
69.4868316; 60.9887877; 21.3975218; -1.5143708; -0.0218133; 13.3977736; 5.9452254
69.9867368; 61.4886013; 21.4229399; -1.5257795; -0.0239680; 13.6177985; 5.4014275
70.4866421; 61.9886554; 21.4423328; -1.5386071; -0.0277674; 13.8146604; 4.5336583
70.9865473; 62.4885661; 21.4547223; -1.5540027; -0.0346023; 13.9777552; 3.0613032
71.4864526; 62.9880128; 21.4585540; -1.5720595; -0.0323834; 14.0868152; 3.3882228
71.9863579; 63.4874868; 21.4544565; -1.5847564; -0.0182051; 14.2065458; 6.1317709
72.4862631; 63.9871250; 21.4458347; -1.5900673; -0.0028743; 14.4206988; 7.3450514
72.9861684; 64.4867760; 21.4365075; -1.5875249; 0.0131014; 14.6731119; 6.9522805
73.4860737; 64.9865465; 21.4304395; -1.5770917; 0.0282851; 14.9080910; 3.4695981
73.9859789; 65.4863825; 21.4313397; -1.5601670; 0.0376326; 15.0239847; 1.2530549
74.4858842; 65.9861328; 21.4415289; -1.5405608; 0.0393275; 15.0656209; 0.8181310
74.9857895; 66.4855996; 21.4615125; -1.5211709; 0.0380302; 15.0927436; 1.0794830
75.4856947; 66.9846090; 21.4909905; -1.5025309; 0.0365841; 15.1284563; 1.3667635
75.9856000; 67.4830078; 21.5295936; -1.4845657; 0.0353170; 15.1735524; 1.6051620
76.4855052; 67.9806570; 21.5769938; -1.4671963; 0.0341898; 15.2263440; 1.8058727
76.9854105; 68.4774303; 21.6328960; -1.4503623; 0.0331681; 15.2855187; 1.9784401
77.4853158; 68.9732128; 21.6970300; -1.4340191; 0.0322220; 15.3500862; 2.1308961
77.9852210; 69.4678996; 21.7691434; -1.4181356; 0.0313266; 15.4193268; 2.2699245
78.4851263; 69.9613961; 21.8489955; -1.4026922; 0.0304610; 15.4927446; 2.4010216
78.9850316; 70.4536176; 21.9363527; -1.3876783; 0.0296087; 15.5700257; 2.5286577
79.4849368; 70.9444893; 22.0309848; -1.3730910; 0.0287561; 15.6510025; 2.6564330
79.9848421; 71.4339471; 22.1326615; -1.3589327; 0.0278932; 15.7356223; 2.7872206
80.4847473; 71.9219367; 22.2411510; -1.3452108; 0.0270121; 15.8239218; 2.9232952
80.9846526; 72.4084148; 22.3562174; -1.3319355; 0.0261071; 15.9160059; 3.0664433
81.4845579; 72.8933485; 22.4776203; -1.3191196; 0.0251742; 16.0120300; 3.2180563
81.9844631; 73.3767156; 22.6051138; -1.3067776; 0.0242111; 16.1121864; 3.3792057
82.4843684; 73.8585049; 22.7384460; -1.2949248; 0.0232165; 16.2166925; 3.5507029
82.9842737; 74.3387158; 22.8773589; -1.2835769; 0.0221901; 16.3257817; 3.7331453
83.4841789; 74.8173584; 23.0215886; -1.2727495; 0.0211327; 16.4396954; 3.9269492
83.9840842; 75.2944532; 23.1708658; -1.2624577; 0.0200458; 16.5586772; 4.1323742
84.4839895; 75.7700313; 23.3249157; -1.2527158; 0.0189316; 16.6829668; 4.3495359
84.9838947; 76.2441331; 23.4834593; -1.2435366; 0.0177930; 16.8127955; 4.5784185
85.4838000; 76.7168090; 23.6462137; -1.2349316; 0.0166333; 16.9483817; 4.8188595
85.9837052; 77.1881181; 23.8128930; -1.2269104; 0.0154566; 17.0899266; 5.0705982
86.4836105; 77.6581275; 23.9832095; -1.2194805; 0.0142677; 17.2376108; 5.3330892
86.9835158; 78.1269122; 24.1568745; -1.2126469; 0.0130704; 17.3915872; 5.6060847
87.4834210; 78.5945535; 24.3335994; -1.2064118; 0.0118742; 17.5519893; 5.8876147
87.9833263; 79.0611381; 24.5130972; -1.2007759; 0.0106720; 17.7188834; 6.1807254
88.4832316; 79.5267607; 24.6950840; -1.1957322; 0.0095138; 17.8924113; 6.4704247
88.9831368; 79.9914994; 24.8792750; -1.1912851; 0.0082546; 18.0722877; 6.8043116
